aX,aY,aZ,gX,gY,gZ
-0.212,-1.246,1.357,21.301,-129.761,35.583
-0.164,-1.299,1.636,22.034,-130.371,45.715
-0.111,-1.393,1.973,21.973,-127.502,57.007
-0.052,-1.506,2.264,21.729,-120.056,70.374
-0.012,-1.617,2.468,24.902,-107.971,85.083
0.006,-1.667,2.607,31.738,-93.811,101.746
0.003,-1.623,2.740,37.903,-78.735,120.056
-0.024,-1.443,2.917,39.368,-63.354,139.282
-0.065,-1.102,3.052,35.889,-46.570,157.837
-0.108,-0.712,3.025,33.386,-27.283,172.058
-0.145,-0.394,2.897,32.043,-8.301,180.054
-0.173,-0.167,2.802,32.593,6.531,182.983
-0.199,0.020,2.689,31.433,20.264,182.739
-0.215,0.221,2.560,29.541,31.982,180.969
-0.224,0.411,2.451,26.123,42.114,177.673
-0.203,0.598,2.413,22.705,50.537,172.485
-0.160,0.820,2.450,18.066,58.228,165.771
-0.091,1.001,2.503,12.939,67.627,156.738
-0.035,1.077,2.626,7.751,78.491,145.752
-0.024,1.144,2.693,4.700,92.041,133.423
-0.054,1.180,2.587,2.991,108.887,120.972
-0.102,1.172,2.379,1.343,124.939,108.154
-0.193,1.208,2.107,0.183,137.878,95.398
-0.246,1.201,1.589,-3.052,149.048,82.397
-0.281,1.074,1.240,-3.662,152.344,67.871
-0.276,0.918,1.058,0.366,148.926,53.955
-0.245,0.762,0.950,6.836,144.897,42.297
-0.185,0.610,1.022,15.076,139.160,33.203
-0.159,0.502,1.243,21.179,135.071,26.184
-0.149,0.487,1.212,25.574,137.634,20.691
-0.158,0.458,0.973,29.907,143.127,14.648
-0.191,0.326,0.786,31.921,144.836,7.507
-0.236,0.119,0.527,31.250,145.020,1.221
-0.257,-0.134,0.166,28.992,144.226,-1.648
-0.272,-0.373,-0.095,22.766,137.939,-1.892
-0.264,-0.536,-0.275,12.329,128.113,1.038
-0.260,-0.602,-0.364,4.028,117.004,6.531
-0.272,-0.561,-0.369,-0.305,105.286,12.756
-0.308,-0.451,-0.494,-3.174,95.642,18.066
-0.330,-0.266,-0.656,-1.221,86.243,20.996
-0.376,-0.095,-0.743,6.958,73.730,19.958
-0.428,-0.015,-0.792,16.357,60.120,15.686
-0.477,-0.009,-0.810,20.996,45.776,10.742
-0.524,0.007,-0.784,13.062,31.189,8.423
-0.580,0.066,-0.800,-5.188,17.151,8.423
-0.607,0.164,-0.892,-23.499,4.272,8.728
-0.642,0.248,-0.940,-36.926,-9.644,6.714
-0.643,0.318,-0.953,-46.204,-25.269,2.869
-0.633,0.328,-0.917,-50.720,-41.382,-2.808
-0.618,0.274,-0.860,-47.180,-56.641,-10.864
-0.603,0.184,-0.741,-40.588,-70.923,-19.043
-0.584,0.003,-0.679,-38.025,-82.825,-25.269
-0.548,-0.254,-0.551,-39.063,-94.116,-28.442
-0.504,-0.395,-0.417,-41.443,-104.309,-26.550
-0.493,-0.331,-0.287,-47.424,-112.915,-21.240
-0.480,-0.131,-0.249,-55.664,-120.422,-16.846
-0.519,0.009,-0.310,-60.303,-127.441,-17.151
-0.589,0.029,-0.322,-67.139,-137.939,-20.264
-0.631,0.051,-0.326,-78.125,-151.672,-23.560
-0.617,0.065,-0.262,-80.811,-166.992,-27.832
-0.585,0.033,-0.001,-76.660,-184.875,-33.264
-0.528,-0.036,0.402,-75.317,-201.904,-37.903
-0.408,-0.025,0.894,-81.116,-215.637,-39.734
-0.274,0.001,1.427,-83.862,-224.365,-41.016
-0.161,-0.052,2.048,-85.266,-227.905,-43.213
-0.055,-0.128,2.695,-89.233,-224.670,-44.250
0.023,-0.220,3.140,-92.590,-212.524,-43.884
0.056,-0.338,3.380,-95.093,-194.031,-41.443
0.097,-0.378,3.514,-95.886,-174.377,-36.133
0.159,-0.395,3.562,-85.815,-153.503,-30.334
0.212,-0.367,3.599,-66.833,-132.874,-25.269
0.258,-0.339,3.531,-46.692,-111.206,-20.630
0.280,-0.341,3.405,-31.128,-89.722,-16.357
0.281,-0.342,3.161,-17.883,-68.604,-12.207
0.265,-0.303,2.824,-2.869,-49.133,-8.423
0.244,-0.274,2.479,15.564,-33.508,-5.737
0.212,-0.268,2.215,34.119,-21.667,-3.906
0.170,-0.250,1.964,43.091,-12.756,-1.709
0.099,-0.173,1.639,40.466,-5.798,1.465
0.024,-0.027,1.284,31.494,-2.380,5.615
-0.031,0.109,1.048,22.278,-4.822,6.897
-0.061,0.163,0.967,17.639,-11.230,4.517
-0.061,0.141,1.021,15.564,-18.982,-0.061
-0.053,0.061,1.198,13.000,-25.757,-4.761
-0.044,-0.029,1.358,7.446,-28.809,-8.057
-0.043,-0.123,1.487,1.648,-27.893,-9.888
-0.046,-0.189,1.594,-3.723,-24.780,-10.010
-0.065,-0.200,1.615,-6.775,-19.165,-8.606
-0.088,-0.230,1.523,-6.348,-11.902,-7.446
-0.129,-0.294,1.449,-2.197,-6.470,-6.653
-0.156,-0.342,1.382,3.235,-2.747,-5.127
-0.174,-0.355,1.360,10.132,-0.183,-2.502
-0.179,-0.340,1.391,14.587,1.892,0.305
-0.177,-0.262,1.445,14.099,4.211,4.944
-0.182,-0.117,1.419,10.132,8.301,9.155
-0.191,0.017,1.325,5.005,13.000,11.353
-0.210,0.082,1.209,1.709,16.235,10.559
-0.224,0.086,1.111,1.831,17.944,7.751
-0.229,0.074,1.048,1.465,17.883,4.761
-0.229,0.054,1.001,1.282,17.395,2.319
-0.223,0.017,0.998,0.488,16.113,0.305
-0.211,-0.025,0.999,0.732,15.198,-1.038
-0.207,-0.041,1.004,2.625,14.832,-1.587
-0.211,-0.042,0.991,3.784,14.954,-2.075
-0.204,-0.059,0.980,4.089,15.015,-2.686
-0.203,-0.079,0.971,3.906,14.893,-2.625
-0.204,-0.091,0.926,3.357,15.076,-1.953
-0.204,-0.090,0.874,3.296,14.954,-1.648
-0.202,-0.109,0.854,3.784,13.489,-1.526
-0.188,-0.130,0.853,6.165,11.536,-1.587
-0.180,-0.127,0.877,8.179,10.010,-1.526
-0.172,-0.119,0.885,8.789,8.667,-1.221
-0.172,-0.101,0.860,4.700,7.629,-0.488
-0.176,-0.079,0.826,-0.183,6.287,0.305
-0.185,-0.078,0.804,-0.916,4.639,0.122
-0.176,-0.121,0.847,0.366,2.075,-0.610
-0.160,-0.168,0.942,-1.160,-0.366,-0.610
-0.150,-0.161,1.005,-2.625,-1.038,0.916
-0.149,-0.113,1.053,-3.723,-0.488,2.563

-0.214,0.969,1.607,-14.893,72.937,-21.423
-0.235,1.026,1.607,-8.972,82.703,-31.128
-0.274,1.043,1.584,-4.578,93.262,-42.297
-0.339,0.942,1.346,0.366,105.042,-55.054
-0.407,0.718,0.985,7.324,115.295,-68.054
-0.449,0.526,0.726,14.221,118.591,-77.576
-0.463,0.433,0.549,21.667,117.371,-83.008
-0.461,0.404,0.380,26.611,114.563,-86.609
-0.451,0.428,0.261,26.978,109.436,-89.539
-0.431,0.507,0.241,24.048,102.478,-92.590
-0.422,0.594,0.194,18.372,96.558,-97.229
-0.436,0.657,0.127,14.282,91.125,-104.919
-0.455,0.723,0.063,11.780,84.778,-114.746
-0.473,0.777,-0.031,8.667,78.003,-126.282
-0.514,0.820,-0.107,8.606,70.313,-140.198
-0.579,0.873,-0.188,7.507,61.646,-155.273
-0.661,0.699,-0.497,6.470,54.382,-173.035
-0.731,0.315,-0.849,2.625,42.908,-190.674
-0.760,-0.055,-1.076,-3.296,22.949,-201.233
-0.750,-0.316,-1.125,-7.690,-2.258,-205.078
-0.736,-0.496,-1.036,-9.766,-29.297,-205.139
-0.714,-0.605,-0.908,-11.353,-54.993,-203.186
-0.693,-0.670,-0.854,-12.390,-77.271,-200.256
-0.716,-0.668,-0.853,-12.207,-97.961,-197.449
-0.756,-0.619,-0.829,-12.085,-119.141,-195.312
-0.791,-0.785,-0.727,-15.076,-141.479,-196.289
-0.846,-1.192,-0.510,-21.973,-164.978,-197.510
-0.820,-1.566,-0.199,-30.884,-187.012,-192.871
-0.722,-1.999,0.178,-35.217,-205.322,-181.885
-0.573,-2.363,0.660,-38.879,-219.360,-164.246
-0.466,-2.628,1.115,-41.077,-224.792,-139.648
