aX,aY,aZ,gX,gY,gZ
0.610,0.109,2.146,-42.603,-126.343,-14.038
0.630,0.017,2.519,-33.936,-119.995,-18.250
0.654,-0.054,2.990,-23.743,-110.596,-20.752
0.698,-0.196,3.415,-14.893,-95.276,-21.362
0.677,-0.375,3.787,-7.202,-74.158,-18.616
0.635,-0.485,4.000,2.869,-47.485,-12.207
0.570,-0.483,3.965,24.475,-16.968,-4.333
0.343,-0.408,4.000,57.495,11.169,3.357
0.319,-0.190,4.000,82.336,40.894,12.329
0.145,-0.036,4.000,97.778,73.425,19.836
-0.056,0.051,4.000,97.778,104.248,27.283
-0.251,0.188,4.000,86.243,137.329,35.461
-0.459,0.331,4.000,70.923,171.692,41.809
-0.701,0.424,3.770,55.725,203.796,44.556
-0.932,0.442,3.186,50.476,232.727,43.335
-1.114,0.304,2.581,61.096,254.639,38.330
-1.228,0.110,2.174,75.500,268.066,35.339
-1.297,-0.039,1.864,84.534,276.489,36.499
-1.367,-0.106,1.496,84.839,283.203,41.565
-1.419,-0.076,1.093,71.594,286.682,49.805
-1.435,0.091,0.719,47.119,284.729,58.777
-1.429,0.310,0.406,21.118,278.687,64.392
-1.371,0.514,0.090,2.258,270.447,64.148
-1.307,0.582,-0.170,-7.324,260.132,57.312
-1.220,0.588,-0.345,-9.033,247.437,46.936
-1.105,0.522,-0.502,-0.793,234.436,34.607
-0.984,0.388,-0.593,13.611,220.520,22.766
-0.865,0.260,-0.539,26.245,205.383,13.977
-0.777,0.186,-0.478,33.203,192.200,9.094
-0.722,0.155,-0.598,30.579,182.678,7.080
-0.678,0.151,-0.859,18.433,173.096,6.836
-0.655,0.149,-1.109,3.296,159.363,6.775
-0.619,0.196,-1.331,-13.794,140.991,6.775
-0.589,0.230,-1.557,-26.794,120.422,5.432
-0.540,0.309,-1.721,-33.325,96.741,2.747
-0.489,0.398,-1.766,-32.288,70.007,-1.770
-0.439,0.434,-1.681,-25.574,42.480,-8.789
-0.375,0.479,-1.547,-18.982,17.395,-16.663
-0.345,0.522,-1.399,-15.381,-4.395,-24.597
-0.327,0.542,-1.320,-16.663,-23.315,-32.593
-0.348,0.537,-1.315,-22.888,-41.077,-39.978
-0.390,0.529,-1.352,-29.846,-58.899,-47.302
-0.449,0.466,-1.444,-31.250,-77.454,-55.542
-0.510,0.396,-1.508,-26.794,-97.839,-64.026
-0.581,0.420,-1.433,-22.217,-121.521,-70.984
-0.642,0.530,-1.318,-23.071,-145.874,-77.087
-0.701,0.601,-1.230,-30.823,-169.189,-84.045
-0.756,0.578,-1.019,-41.260,-194.031,-92.834
-0.817,0.509,-0.662,-51.636,-218.811,-102.173
-0.794,0.343,-0.286,-59.204,-239.136,-110.962
-0.784,0.069,0.174,-69.031,-255.371,-117.859
-0.721,-0.198,0.609,-78.735,-266.113,-120.911
-0.632,-0.379,0.999,-84.045,-271.301,-119.202
-0.514,-0.518,1.309,-85.327,-271.790,-115.173
-0.393,-0.634,1.578,-81.909,-269.958,-110.474
-0.262,-0.775,1.905,-73.975,-267.151,-105.347
-0.127,-0.896,2.281,-65.369,-262.512,-99.365
-0.011,-1.053,2.698,-55.908,-254.272,-92.773
0.119,-1.232,3.141,-46.936,-243.042,-84.473
0.226,-1.332,3.546,-36.011,-226.562,-73.730
0.335,-1.419,3.915,-21.545,-205.322,-61.523
0.441,-1.422,4.000,-12.451,-180.664,-46.814
0.541,-1.357,4.000,-5.798,-152.527,-31.067
0.558,-1.270,4.000,0.061,-123.352,-15.991
0.565,-1.147,4.000,8.789,-92.529,-2.563
0.550,-0.995,4.000,20.264,-61.523,9.094
0.522,-0.800,4.000,28.442,-31.616,19.531
0.507,-0.621,4.000,31.921,-2.502,27.466
0.472,-0.485,4.000,28.870,27.344,33.264
0.398,-0.370,4.000,22.156,59.326,37.537
0.298,-0.236,4.000,18.555,93.750,40.955
0.157,-0.057,4.000,19.470,129.944,42.908
-0.034,0.089,4.000,19.653,169.067,42.603
-0.263,0.195,4.000,18.677,208.862,39.978
-0.496,0.241,4.000,28.625,245.056,34.607
-0.704,0.251,3.652,46.082,274.902,28.442
-0.883,0.221,3.253,62.317,299.866,23.682
-1.041,0.226,2.872,71.411,320.923,20.996
-1.182,0.270,2.523,73.792,337.708,19.470
-1.289,0.301,2.180,70.984,351.013,18.066
-1.393,0.301,1.855,64.575,361.694,16.113
-1.468,0.295,1.535,55.298,369.324,13.977
-1.519,0.285,1.242,44.983,374.207,11.780
-1.604,0.250,0.938,38.330,377.441,8.850
-1.625,0.275,0.564,34.302,379.028,5.554
-1.626,0.277,0.139,34.241,377.869,0.977
-1.591,0.232,-0.301,31.433,372.131,-3.296
-1.530,0.159,-0.725,24.353,360.413,-7.324
-1.432,0.108,-1.105,19.470,343.140,-10.437
-1.303,0.058,-1.457,21.301,321.411,-13.306
-1.144,0.020,-1.708,25.879,294.128,-15.686
-1.000,-0.001,-1.854,21.484,262.695,-15.869
-0.873,-0.011,-1.961,5.005,229.675,-13.977
-0.761,0.000,-2.047,-11.353,196.045,-12.146
-0.668,0.059,-2.095,-24.841,161.743,-10.803
-0.598,0.160,-2.059,-38.391,127.197,-10.376
-0.520,0.202,-2.003,-49.316,94.238,-13.428
-0.463,0.161,-1.906,-53.345,63.110,-19.653
-0.427,0.100,-1.745,-51.514,34.302,-25.940
-0.405,0.075,-1.564,-46.204,8.789,-31.555
