aX,aY,aZ,gX,gY,gZ
0.664,-0.290,1.273,-33.630,-7.690,62.805
0.600,-0.088,1.134,-15.808,5.798,68.604
0.537,0.054,0.991,5.737,15.320,67.505
0.515,0.180,0.874,8.362,19.531,65.186
0.495,0.430,0.633,3.601,20.203,60.486
0.479,0.625,0.601,-13.428,14.587,50.781
0.571,0.569,0.546,-17.395,5.310,33.997
0.608,0.479,0.569,-15.686,-2.686,17.334
0.607,0.275,0.639,-8.057,-10.071,3.601
0.600,0.128,0.710,-4.211,-15.930,-3.845
0.600,0.090,0.772,-6.348,-19.592,-6.470
0.594,0.235,0.730,-9.766,-21.240,-7.812
0.558,0.425,0.589,-19.653,-23.254,-12.939
0.552,0.269,0.554,-26.001,-29.724,-22.217
0.571,0.022,0.585,-19.409,-39.124,-28.442
0.595,-0.234,0.760,-10.376,-49.011,-27.039
0.618,-0.327,0.873,4.150,-52.734,-20.630
0.578,-0.334,0.846,13.733,-52.307,-11.475
0.476,-0.360,0.803,19.043,-52.307,-2.014
0.424,-0.418,0.862,1.526,-53.650,13.245
0.383,0.013,0.990,-23.804,-54.688,30.884
0.397,0.169,0.950,-8.484,-48.950,28.442
0.468,0.077,0.913,24.841,-43.884,17.944
0.526,-0.071,0.874,38.879,-41.260,12.939
0.581,-0.261,0.830,37.842,-39.917,14.160
0.627,-0.339,0.818,20.264,-40.710,20.752
0.585,-0.296,0.865,-12.268,-42.542,30.945
0.402,-0.220,0.931,-30.334,-44.250,38.025
0.373,-0.033,1.068,-31.372,-44.800,41.199
0.308,-0.014,1.265,-0.488,-41.992,36.194
0.392,-0.167,1.348,56.396,-35.400,26.550
0.546,-0.250,1.355,81.787,-26.733,23.437
0.597,-0.236,1.390,59.448,-18.921,28.015
0.631,-0.167,1.462,47.058,-11.292,30.762
0.581,-0.170,1.529,56.885,-2.380,29.541
0.384,-0.228,1.555,68.420,8.423,27.222
0.536,-0.094,1.585,70.923,19.226,27.222
0.577,-0.216,1.465,101.440,32.898,22.217
0.498,-0.318,1.397,117.615,43.701,20.630
0.487,-0.291,1.337,109.741,51.514,25.757
0.496,-0.263,1.246,108.765,58.655,29.236
0.475,-0.208,1.218,110.046,63.843,30.029
0.488,-0.088,1.246,119.263,69.397,27.100
0.528,-0.039,1.263,146.240,77.881,18.616
0.542,-0.050,1.295,168.335,86.487,9.888
0.546,-0.154,1.252,176.819,94.604,3.723
0.538,-0.171,1.253,166.199,98.877,3.845
0.577,-0.319,1.129,162.903,101.868,5.554
0.617,-0.305,1.105,129.761,100.525,12.939
0.554,-0.174,1.069,92.102,100.281,20.447
0.583,-0.108,0.876,95.886,101.807,18.921
0.630,-0.052,0.749,109.253,98.389,13.184
0.610,0.017,0.695,111.023,92.590,7.141
0.594,0.050,0.661,111.816,87.402,-1.099
0.611,0.066,0.618,113.342,82.764,-10.376
0.621,0.080,0.562,113.159,77.881,-19.958
0.612,0.043,0.521,109.192,71.716,-29.785
0.584,-0.008,0.513,104.492,64.209,-38.513
0.593,-0.075,0.510,105.530,56.763,-46.082
0.632,-0.112,0.555,109.985,49.438,-51.880
0.595,-0.190,0.599,119.141,43.701,-56.885
0.563,-0.253,0.629,116.882,39.246,-59.265
0.584,-0.265,0.652,99.792,35.645,-58.350
0.600,-0.293,0.651,85.571,33.264,-57.556
0.613,-0.300,0.648,74.707,30.945,-57.739
0.607,-0.328,0.635,66.711,29.114,-58.777
0.595,-0.430,0.622,63.293,27.893,-60.547
0.593,-0.567,0.608,62.500,26.611,-60.120
0.598,-0.709,0.560,65.430,26.611,-56.152
0.581,-0.834,0.480,67.505,26.123,-49.927
0.569,-0.913,0.392,60.181,23.865,-41.077
0.579,-0.959,0.291,41.748,19.836,-29.724
0.571,-0.961,0.226,24.170,13.245,-17.578
0.575,-0.935,0.225,11.963,5.005,-6.287
0.666,-0.887,0.182,7.568,-2.258,3.113
0.649,-0.775,0.208,-0.671,-8.911,12.329
0.591,-0.718,0.269,1.892,-15.808,17.456
0.594,-0.699,0.322,12.329,-21.545,19.165
0.584,-0.692,0.380,17.212,-25.879,20.630
0.580,-0.688,0.456,23.682,-29.480,22.217
0.565,-0.689,0.538,36.011,-32.104,22.949
0.555,-0.661,0.614,42.908,-33.386,24.414
0.536,-0.624,0.704,44.495,-33.813,26.306
0.519,-0.589,0.771,43.823,-32.349,27.466
0.536,-0.536,0.801,41.504,-29.358,28.198
0.528,-0.493,0.825,37.964,-25.940,28.625
0.564,-0.418,0.852,34.912,-21.362,28.259
0.600,-0.440,0.813,38.696,-15.137,25.269
0.563,-0.444,0.770,43.274,-9.521,22.583
0.534,-0.443,0.719,41.504,-5.310,21.057
0.499,-0.437,0.677,36.438,-2.380,20.081
0.518,-0.420,0.648,31.555,-0.427,19.287
0.548,-0.399,0.635,27.649,1.648,18.250
0.607,-0.370,0.644,26.672,3.357,16.357
0.592,-0.388,0.646,30.334,5.859,13.428
0.546,-0.403,0.629,33.081,8.789,10.742
0.516,-0.399,0.588,32.593,11.780,8.850
0.510,-0.386,0.539,27.771,14.526,7.446
0.504,-0.377,0.484,24.536,16.724,5.493
0.505,-0.404,0.427,25.024,17.822,1.709
0.534,-0.459,0.388,26.489,17.822,-1.648
