aX,aY,aZ,gX,gY,gZ
0.175,-1.163,2.645,-84.961,-160.034,-50.659
0.250,-1.397,3.153,-90.515,-151.489,-38.818
0.265,-1.433,3.576,-96.130,-134.583,-21.362
0.312,-1.267,3.798,-99.915,-112.183,-1.831
0.296,-1.114,3.987,-94.910,-87.463,14.160
0.256,-0.976,4.000,-82.336,-60.852,27.222
0.198,-0.804,4.000,-58.777,-32.043,37.476
0.139,-0.628,4.000,-26.917,-0.610,45.898
-0.034,-0.498,4.000,4.150,31.982,52.673
-0.145,-0.350,4.000,31.067,65.674,59.326
-0.286,-0.203,4.000,44.128,101.929,67.627
-0.458,-0.015,4.000,36.987,139.832,77.759
-0.762,0.312,4.000,18.311,181.335,87.646
-1.120,0.746,4.000,4.089,226.135,92.896
-1.455,1.087,3.996,0.122,268.066,88.135
-1.739,1.202,3.348,5.310,298.645,73.975
-1.927,1.140,2.651,12.634,318.848,56.152
-1.993,0.809,1.953,22.949,332.092,38.391
-1.973,0.262,1.648,26.184,333.740,26.550
-1.948,-0.139,1.547,14.832,330.811,26.611
-1.905,-0.225,1.229,1.099,333.130,34.180
-1.901,-0.195,0.832,-7.080,335.999,41.443
-1.875,-0.191,0.462,-9.155,335.022,45.044
-1.869,-0.233,0.024,-9.277,331.604,47.180
-1.780,-0.221,-0.504,-12.390,324.585,49.866
-1.695,-0.195,-0.919,-13.489,311.462,51.453
-1.566,-0.189,-1.301,-14.099,292.542,51.392
-1.401,-0.190,-1.606,-8.789,269.958,49.622
-1.231,-0.196,-1.753,-0.977,243.286,47.852
-1.050,-0.149,-1.762,3.113,213.806,46.692
-0.909,-0.015,-1.692,2.197,184.998,45.471
-0.769,0.100,-1.693,-0.244,159.668,42.664
-0.687,0.146,-1.717,-4.272,135.803,37.537
-0.609,0.195,-1.768,-12.512,111.450,32.227
-0.545,0.141,-1.827,-24.475,87.341,25.940
-0.469,-0.046,-1.801,-37.659,61.096,18.982
-0.386,-0.328,-1.599,-46.631,33.203,13.428
-0.283,-0.626,-1.243,-52.551,8.667,12.634
-0.191,-0.879,-0.866,-54.749,-8.789,16.968
-0.109,-1.042,-0.531,-55.359,-18.982,25.818
-0.049,-1.168,-0.326,-54.016,-23.193,37.170
0.003,-1.253,-0.141,-45.532,-24.292,49.683
0.055,-1.325,0.065,-27.222,-22.461,61.890
0.099,-1.424,0.264,-9.949,-18.555,75.745
0.115,-1.460,0.409,6.409,-11.963,90.637
0.122,-1.457,0.390,27.222,-2.502,105.713
0.113,-1.404,0.354,50.171,5.066,120.361
0.109,-1.341,0.294,69.763,10.498,134.644
0.139,-1.271,0.299,82.581,12.329,148.804
0.184,-1.292,0.322,86.914,12.512,163.574
0.225,-1.405,0.332,76.782,11.719,180.847
0.228,-1.479,0.490,59.937,10.254,202.454
0.186,-1.413,0.464,53.528,14.709,225.098
0.072,-1.226,0.355,48.462,17.944,249.329
-0.119,-0.854,0.317,50.415,18.433,271.912
-0.224,-0.448,0.280,65.491,16.968,289.429
-0.305,-0.138,0.434,79.041,11.963,301.270
-0.403,0.035,0.641,74.036,7.202,310.791
-0.553,0.108,0.688,60.486,6.714,321.716
-0.762,0.209,0.660,41.260,7.935,335.754
-1.105,0.388,0.580,17.639,8.667,351.685
-1.306,0.713,0.393,3.906,9.338,365.723
-1.495,1.109,0.260,5.981,6.714,375.305
-1.694,1.543,0.241,12.573,0.183,380.615
-1.801,1.937,0.232,11.292,-7.629,381.653
-1.922,2.238,0.239,8.972,-16.541,376.770
-2.095,2.512,0.250,-0.122,-26.611,369.751
-2.240,2.902,0.167,-3.052,-36.316,357.666
-2.228,3.553,0.123,1.160,-47.974,339.600
-2.211,4.000,0.201,11.658,-62.805,313.049
-2.154,4.000,0.347,22.217,-77.515,275.635
-2.016,4.000,0.435,36.926,-89.844,223.511
-1.913,4.000,0.584,53.406,-100.830,153.198
-1.858,4.000,0.691,72.754,-109.009,63.782
-2.001,4.000,0.838,79.651,-116.333,-40.527
-2.329,4.000,0.962,75.989,-121.216,-157.410
-3.002,4.000,1.016,68.665,-122.620,-283.325
-3.871,4.000,1.082,62.317,-123.474,-408.936
-4.000,4.000,1.087,57.312,-122.986,-524.902
-4.000,4.000,0.945,56.519,-120.178,-626.831
-4.000,3.663,0.635,56.091,-118.225,-713.318
-4.000,2.250,0.218,52.307,-122.131,-786.560
-4.000,0.575,-0.085,19.653,-141.235,-844.116
-4.000,-1.331,0.011,-48.096,-182.739,-878.845
-4.000,-3.520,0.810,-122.925,-243.347,-887.512
-4.000,-4.000,2.417,-186.340,-305.176,-858.765
-4.000,-4.000,4.000,-209.351,-341.736,-783.386
-3.311,-4.000,4.000,-185.547,-327.454,-661.926
-1.562,-4.000,4.000,-163.757,-276.550,-507.629
-0.545,-4.000,4.000,-143.799,-211.853,-362.549
0.009,-4.000,4.000,-130.371,-156.616,-252.991
0.271,-3.898,3.912,-95.520,-118.347,-190.369
0.419,-3.590,3.415,-49.561,-78.003,-148.865
0.432,-3.245,2.661,-16.174,-39.612,-108.643
0.326,-2.818,1.936,-1.770,-14.221,-68.726
0.218,-2.338,1.358,1.099,-2.930,-33.264
0.140,-1.763,1.005,5.310,-2.808,-5.066
0.106,-1.173,0.895,10.498,-9.277,15.259
0.145,-0.622,0.948,11.108,-18.005,27.405
0.183,-0.198,1.113,8.850,-25.391,31.006
0.252,0.077,1.329,3.540,-29.297,28.076
0.291,0.181,1.531,-0.916,-28.320,20.569
0.303,0.204,1.673,-3.479,-22.827,11.658
0.296,0.223,1.673,-3.967,-13.550,3.601
0.267,0.236,1.565,-3.174,-3.723,-3.296
0.238,0.188,1.391,0.000,4.272,-10.559
0.221,0.062,1.172,3.784,9.827,-17.151
0.222,-0.136,1.006,4.089,11.536,-20.996
0.231,-0.328,0.911,2.075,9.399,-20.325
0.257,-0.442,0.852,0.244,6.470,-15.137
0.268,-0.452,0.858,0.122,2.808,-7.446
0.289,-0.363,0.870,3.174,-0.244,0.061
0.301,-0.221,0.895,9.216,-2.380,6.287
0.314,-0.065,0.960,17.761,-3.906,10.193
0.354,0.038,1.046,24.231,-4.395,11.780
0.374,0.058,1.145,30.823,-3.235,11.536
0.393,0.064,1.171,36.133,0.061,10.681
0.389,0.074,1.142,39.001,4.272,10.742
0.380,0.080,1.064,36.804,7.935,11.414

-0.572,-0.812,3.032,-11.475,-256.592,-91.858
-0.379,-0.901,3.832,-42.664,-247.009,-83.313
-0.295,-0.831,4.000,-72.632,-223.267,-71.655
-0.197,-0.736,4.000,-88.928,-188.782,-63.599
-0.156,-0.781,4.000,-94.727,-148.315,-59.509
-0.157,-1.035,4.000,-93.079,-108.154,-57.983
-0.246,-1.436,4.000,-83.374,-71.472,-53.955
-0.286,-1.825,4.000,-68.909,-41.626,-42.786
