aX,aY,aZ,gX,gY,gZ
0.419,0.761,1.537,59.387,-53.406,-5.615
0.557,0.691,1.699,68.237,-41.565,-15.320
0.405,0.530,1.787,73.730,-27.405,-22.705
0.347,0.486,1.856,65.735,-13.733,-25.391
0.399,0.350,1.748,58.899,1.404,-28.076
0.397,0.176,1.536,57.861,15.137,-29.541
0.355,0.050,1.327,58.777,25.452,-27.222
0.314,-0.045,1.112,56.885,31.433,-21.851
0.311,-0.068,0.941,50.659,32.654,-14.404
0.319,-0.070,0.777,50.476,31.433,-7.324
0.300,-0.073,0.655,56.091,27.649,-1.282
0.292,-0.076,0.585,61.890,21.729,4.028
0.299,-0.104,0.547,67.871,14.832,9.460
0.332,-0.126,0.542,71.045,6.897,15.747
0.331,-0.104,0.572,68.909,-0.427,23.315
0.282,-0.083,0.670,66.284,-7.385,30.396
0.295,-0.069,0.762,64.514,-12.634,37.109
0.302,-0.008,0.851,57.068,-16.541,44.067
0.292,0.076,0.897,49.438,-18.372,50.354
0.266,0.183,0.936,40.222,-19.592,54.993
0.312,0.255,0.909,32.898,-19.714,57.739
0.270,0.292,0.874,30.029,-19.226,58.167
0.247,0.354,0.867,27.954,-19.897,58.289
0.285,0.387,0.853,28.320,-20.935,57.068
0.277,0.383,0.846,29.175,-21.667,54.871
0.280,0.359,0.842,30.090,-22.522,52.734
0.182,0.339,0.857,31.616,-23.682,50.781
0.347,0.390,0.866,33.081,-24.170,48.401
0.310,0.273,0.801,46.265,-22.827,44.189
0.206,0.284,0.794,51.270,-23.987,43.396
0.191,0.311,0.774,45.288,-26.550,43.762
0.215,0.302,0.693,41.199,-28.076,43.091
0.209,0.305,0.593,32.959,-30.823,42.908
0.200,0.250,0.430,26.062,-34.058,41.992
0.165,0.128,0.249,28.259,-39.001,40.344
0.144,-0.007,0.141,34.302,-47.852,40.405
0.113,-0.098,0.137,38.696,-60.059,43.579
0.091,-0.123,0.167,32.593,-72.388,50.659
0.077,-0.115,0.165,22.034,-83.252,59.021
0.050,-0.090,0.183,6.470,-94.421,68.298
0.057,-0.005,0.240,-15.686,-105.835,78.613
0.171,0.081,0.301,-36.072,-116.394,87.402
0.015,0.165,0.356,-50.903,-124.390,94.238
-0.004,0.235,0.400,-51.758,-131.653,97.046
0.046,0.373,0.488,-48.767,-138.062,97.900
0.092,0.458,0.623,-43.152,-144.165,96.924
0.152,0.496,0.756,-34.790,-148.315,93.567
0.182,0.515,0.946,-27.527,-151.611,89.539
0.218,0.552,1.171,-19.653,-154.602,84.412
0.281,0.586,1.428,-11.658,-155.579,78.125
0.362,0.644,1.676,-7.324,-154.480,71.045
0.441,0.675,1.912,-6.775,-151.184,63.049
0.493,0.644,2.094,-4.333,-145.447,53.955
0.461,0.560,2.288,-3.418,-139.526,46.204
0.440,0.486,2.604,-6.042,-134.460,40.771
0.438,0.408,2.977,-7.324,-126.831,37.964
0.449,0.370,3.351,-5.615,-113.464,37.476
0.449,0.416,3.766,-4.211,-95.093,39.978
0.422,0.572,4.000,-5.920,-70.862,44.800
0.371,0.853,4.000,-7.568,-39.795,48.523
0.323,1.170,4.000,-4.150,-4.456,48.401
0.193,1.434,4.000,3.479,32.654,42.419
0.007,1.570,4.000,13.367,71.228,31.433
-0.186,1.645,4.000,23.071,110.962,19.043
-0.420,1.740,4.000,29.785,152.222,7.935
-0.629,1.878,4.000,35.950,194.397,-2.625
-0.896,1.954,4.000,47.791,236.145,-15.381
-1.155,1.897,3.566,65.186,272.644,-30.823
-1.364,1.780,3.079,84.900,302.002,-45.837
-1.553,1.549,2.611,103.760,324.402,-58.777
-1.666,1.304,2.188,111.328,339.844,-66.528
-1.727,1.095,1.837,105.225,348.022,-68.481
-1.719,0.987,1.545,93.201,351.013,-66.467
-1.720,0.928,1.287,80.688,351.013,-63.721
-1.710,0.906,1.099,65.186,347.595,-61.890
-1.669,0.865,0.954,49.194,342.712,-62.622
-1.622,0.781,0.835,37.659,337.952,-65.796
-1.603,0.707,0.720,28.503,334.412,-69.458
-1.550,0.579,0.468,29.846,333.923,-74.890
-1.502,0.392,0.128,41.260,333.130,-80.505
-1.445,0.280,-0.161,54.382,327.942,-83.618
-1.382,0.097,-0.353,74.463,318.176,-85.205
-1.246,-0.004,-0.504,93.628,306.213,-82.642
-1.149,-0.095,-0.636,101.868,292.725,-76.355
-1.032,-0.140,-0.806,96.558,278.503,-66.711
-0.913,-0.124,-1.017,74.707,262.512,-54.565
-0.823,-0.092,-1.237,44.495,244.202,-43.091
-0.723,-0.093,-1.446,17.029,222.351,-34.485
-0.614,-0.090,-1.571,-4.456,196.106,-27.588
-0.498,-0.084,-1.585,-16.846,166.809,-22.827
-0.416,-0.062,-1.463,-22.766,137.451,-19.958
-0.323,-0.013,-1.283,-24.170,111.511,-18.616
-0.241,0.011,-1.118,-20.203,90.942,-19.287
-0.168,0.046,-0.942,-13.123,74.158,-21.423
-0.135,0.060,-0.790,-6.226,61.035,-23.376
-0.111,0.092,-0.698,-8.484,50.903,-23.743
-0.108,0.171,-0.670,-15.747,42.786,-23.865
-0.107,0.263,-0.725,-17.456,35.828,-25.879
-0.099,0.318,-0.832,-12.451,29.175,-30.762
-0.121,0.344,-0.916,-4.333,20.081,-37.109
-0.145,0.413,-0.962,3.601,8.667,-43.823
-0.179,0.498,-1.032,10.559,-2.808,-51.453
-0.223,0.609,-1.124,15.442,-15.747,-60.181
-0.294,0.725,-1.269,16.724,-30.884,-70.435
-0.343,0.780,-1.516,11.719,-48.279,-82.458
-0.471,0.821,-1.705,-1.221,-72.510,-94.910
-0.581,0.850,-1.786,-18.250,-103.149,-107.788
